DOI,Title,Link,Year
10.1016/j.eswa.2025.129446,CADroid: A cross-combination attention based framework for android malware detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014591001&doi=10.1016%2Fj.eswa.2025.129446&partnerID=40&md5=caf889a90f03d7810aab0f9320f71ee0,2026
10.1016/j.eswa.2025.129355,SubG4TJ: A collaborative subgraph classification method based on multidimensional attributes for hardware trojan detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013657751&doi=10.1016%2Fj.eswa.2025.129355&partnerID=40&md5=017f9e459e6d1af337dc607a2667c7d1,2026
10.1007/978-981-95-0880-8_4,Detecting Malicious Websites Based on The System Provenance Dependency Graph and GraphSAGE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014494647&doi=10.1007%2F978-981-95-0880-8_4&partnerID=40&md5=0c8c95695a4a3fa8f90ee38246647fc7,2026
10.1007/978-3-031-93709-5_13,Enhanced Image Feature Selection Techniques for Visualization and Classification of Android Malware,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014383742&doi=10.1007%2F978-3-031-93709-5_13&partnerID=40&md5=3286e3c937d91b21383cd3f3846cff8f,2026
10.1007/978-3-031-93254-0_5,A Large-Scale Pretrained Model for Malicious URL Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014086835&doi=10.1007%2F978-3-031-93254-0_5&partnerID=40&md5=c1ca0a0f45c824c6c1b7c521ab82aa66,2026
10.1007/978-3-031-98164-7_20,Natural Language Processing and Data Analysis for Cybercriminal Attribution: Conti Ransomware Chats,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012032440&doi=10.1007%2F978-3-031-98164-7_20&partnerID=40&md5=a756e6268b856e7cc1897e64b6e865fa,2026
10.1007/978-981-96-6294-4_15,Novel Malware Similarity Analysis: Regional Longest Common Substring Algorithm with Elastic Suffix Tree,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011958492&doi=10.1007%2F978-981-96-6294-4_15&partnerID=40&md5=1f3c5258f34065cb3279acdd0be71f61,2026
10.1007/978-981-96-6294-4_17,An Accurate and Robust Deep Learning-Based Stacked Generalization Method for Android Malware Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011943612&doi=10.1007%2F978-981-96-6294-4_17&partnerID=40&md5=65e8d5c3e30ff0efad3082d7d718c55f,2026
10.1007/978-3-031-97663-6_7,Cutting-Edge Malware Detection in Healthcare: Leveraging Cascaded-AlexNet Model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010835145&doi=10.1007%2F978-3-031-97663-6_7&partnerID=40&md5=882678aa1fe3259934608c6c5ce6e658,2026
10.1016/j.eswa.2025.128769,Ensuring secure conversational commerce: Anomaly detection in chatbot interactions,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009605019&doi=10.1016%2Fj.eswa.2025.128769&partnerID=40&md5=f1899af9f8cc6ae101f39cd6b5e1448d,2026
10.1016/j.csa.2024.100083,Earthworm optimization algorithm based cascade LSTM-GRU model for android malware detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214307182&doi=10.1016%2Fj.csa.2024.100083&partnerID=40&md5=7021d4521b9258cc48abcff98224d13e,2025
10.1016/j.csa.2024.100078,A comprehensive literature review on ransomware detection using deep learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211331300&doi=10.1016%2Fj.csa.2024.100078&partnerID=40&md5=6013392ed3cda30d31bcf666374ed5e7,2025
10.1016/j.csa.2024.100075,Novel hybrid deep learning based cyber security threat detection model with optimization algorithm,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206973211&doi=10.1016%2Fj.csa.2024.100075&partnerID=40&md5=0049364c7f514bdaa073ae8d6f963c21,2025
10.1016/j.csa.2024.100072,A comprehensive investigation into robust malware detection with explainable AI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204399615&doi=10.1016%2Fj.csa.2024.100072&partnerID=40&md5=f5d25e89797f885dcd1aab88a305f628,2025
10.1016/j.ins.2025.122528,uitObfAMC: Obfuscated Android malware classification using deep learning on multi-feature information approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011695686&doi=10.1016%2Fj.ins.2025.122528&partnerID=40&md5=7e72feb261f568f66c0c19f995f17732,2025
10.1016/j.ress.2025.111417,Robustness analysis of CPPS against malware attacks under malware incubation and attack–defense confrontation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010855489&doi=10.1016%2Fj.ress.2025.111417&partnerID=40&md5=d6e63fdaee6cc72a3c59c32fce0573c8,2025
10.1016/j.eswa.2025.128629,RAMPAGE: a software framework to ensure reproducibility in algorithmically generated domains detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008824147&doi=10.1016%2Fj.eswa.2025.128629&partnerID=40&md5=56a31a2653cecce6ad49ba125a7cddb8,2025
10.1016/j.future.2025.107900,Noisy data-based attack: A new type of untargeted attack in Federated Learning and its countermeasures,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006663711&doi=10.1016%2Fj.future.2025.107900&partnerID=40&md5=e7a3d2881f8216cfdb26e2b2abb2f8b4,2025
10.1016/j.cose.2025.104625,Distance-based feature selection using Benford's law for malware detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014025891&doi=10.1016%2Fj.cose.2025.104625&partnerID=40&md5=c65e42cda5fece4d209cf3600d6a7670,2025
10.1016/j.eswa.2025.128621,Novel ML-driven intrusion detection system for optimizing network security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008294556&doi=10.1016%2Fj.eswa.2025.128621&partnerID=40&md5=b290344cc5a6bb4ab3566227f6e38291,2025
10.1016/j.comnet.2025.111638,secPEFL: Strengthening federated learning security for Portable Executable malware detection in distributed networks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013994299&doi=10.1016%2Fj.comnet.2025.111638&partnerID=40&md5=32cb20c0a3085ee14b115e9dc50bbb15,2025
10.1016/j.cose.2025.104618,SoK: An empirical investigation of malware techniques in advanced persistent threat attacks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013518651&doi=10.1016%2Fj.cose.2025.104618&partnerID=40&md5=7a82e28323fec3bdfd6b005675138e48,2025
10.1016/j.comnet.2025.111513,Continuous multi-task pre-training for malicious URL detection and webpage classification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011069124&doi=10.1016%2Fj.comnet.2025.111513&partnerID=40&md5=0ec41c7245c6bc0f9c536e5e76f6c7f8,2025
10.1016/j.asoc.2025.113537,Unveiling Evasive Portable Documents with Explainable Kolmogorov-Arnold Networks Resilient to Generative Adversarial Attacks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010871219&doi=10.1016%2Fj.asoc.2025.113537&partnerID=40&md5=74cb994b7d003694767ac41914f60a18,2025
10.1016/j.compeleceng.2025.110542,3DMalDroid: A novel 3D image based approach for android malware detection and classification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010842137&doi=10.1016%2Fj.compeleceng.2025.110542&partnerID=40&md5=e007729e3630f27318304c0014ae3182,2025
