"Category","Term","First_Paper_Title","First_Paper_Link","First_Paper_Year","First_Paper_Abstract","First_Paper_Authors","First_Paper_Citations"
"Domain","Reverse Engineering Domain","Static Analyzer of Vicious Executables (SAVE)","10.1109/CSAC.2004.37","2004","Software security assurance and malware (trojans, worms, and viruses, etc.) detection are important topics of information security. Software obfuscation, a general technique that is useful for protecting software from reverse engineering, can also be used by hackers to circumvent the malware detection tools. Current static malware detection techniques have serious limitations, and sandbox testing also fails to provide a complete solution due to time constraints. In this paper, we present a robust signature-based malware detection technique, with emphasis on detecting obfuscated (or polymorphic) malware and mutated (or metamorphic) malware. The hypothesis is that all versions of the same malware share a common core signature that is a combination of several features of the code. After a particular malware has been first identified, it can be analyzed to extract the signature, which provides a basis for detecting variants and mutants of the same malware in the future. Encouraging experimental results on a large set of recent malware are presented. © 2004 IEEE.","Sung A.H.; Xu J.; Chavez P.; Mukkamala S.","188"
"Domain","Network Security","Reactive to proactive support: A corn dance","10.1145/1181216.1181223","2006","The Linfield College support desk was disorganized and inefficient. The number of Integrated Technologies (IT) department personnel had remained static while the staff, faculty, and student populations grew. We could not keep up with the growing demand for service, our work queues grew longer, and we could not stay on top of viruses and malware. Our mission was to reinvent the support desk to meet the growing needs of the campus community but we were technicians, not managers, and this project was outside of our experience.The resources available for our reinvention project were limited. The IT staff was few in number with only a couple of student workers for assistance. Money for IT infrastructure upgrades was scarce. We spent our time in crisis management rather than preventative maintenance.The Fall 2005 Special Interest Group on University and College Computing Services (SIGUCCS) conference presented a variety of new ideas that gave us the direction we needed to make our support desk project succeed. Returning to campus, we had a fresh perspective for our IT support desk. We automated our network security with Cisco Clean Access and developed an assembly line for repair work with increased student worker technicians. TheBrain software centralized support desk management and helped us develop an ""on demand"" phone support. The campus support desk now offers increased network security, a wider range of services and faster repair times. Copyright 2006 ACM.","Blanco M.; White K.","0"
"Domain","5G Security","Detection of Intrusions and Malware and Vulnerability Assessment - Third International Conference, DIMVA 2006, Proceedings","","2006","The proceedings contain 11 papers. The topics discussed include: using type qualifiers to analyze untrusted integers and detecting security flaws in C programs; using static program analysis to aid intrusion detection; an SVM-based masquerade detection method with online update using co-occurrence matrix; network-level polymorphic shellcode detection using emulation; detecting unknown network attacks using language models; using labeling to prevent cross-service attacks against smart phones; using contextual security policies for threat response; detecting self-mutating malware using control-flow graph matching; digital forensic reconstruction and the virtual security testbed ViSe; a robust SNMP based infrastructure for intrusion detection and response in tactical MANETs; and a fast worm scan detection tool for VPN congestion avoidance.","","0"
"Domain","Crisis Management","Reactive to proactive support: A corn dance","10.1145/1181216.1181223","2006","The Linfield College support desk was disorganized and inefficient. The number of Integrated Technologies (IT) department personnel had remained static while the staff, faculty, and student populations grew. We could not keep up with the growing demand for service, our work queues grew longer, and we could not stay on top of viruses and malware. Our mission was to reinvent the support desk to meet the growing needs of the campus community but we were technicians, not managers, and this project was outside of our experience.The resources available for our reinvention project were limited. The IT staff was few in number with only a couple of student workers for assistance. Money for IT infrastructure upgrades was scarce. We spent our time in crisis management rather than preventative maintenance.The Fall 2005 Special Interest Group on University and College Computing Services (SIGUCCS) conference presented a variety of new ideas that gave us the direction we needed to make our support desk project succeed. Returning to campus, we had a fresh perspective for our IT support desk. We automated our network security with Cisco Clean Access and developed an assembly line for repair work with increased student worker technicians. TheBrain software centralized support desk management and helped us develop an ""on demand"" phone support. The campus support desk now offers increased network security, a wider range of services and faster repair times. Copyright 2006 ACM.","Blanco M.; White K.","0"
"Domain","Project Management","Reactive to proactive support: A corn dance","10.1145/1181216.1181223","2006","The Linfield College support desk was disorganized and inefficient. The number of Integrated Technologies (IT) department personnel had remained static while the staff, faculty, and student populations grew. We could not keep up with the growing demand for service, our work queues grew longer, and we could not stay on top of viruses and malware. Our mission was to reinvent the support desk to meet the growing needs of the campus community but we were technicians, not managers, and this project was outside of our experience.The resources available for our reinvention project were limited. The IT staff was few in number with only a couple of student workers for assistance. Money for IT infrastructure upgrades was scarce. We spent our time in crisis management rather than preventative maintenance.The Fall 2005 Special Interest Group on University and College Computing Services (SIGUCCS) conference presented a variety of new ideas that gave us the direction we needed to make our support desk project succeed. Returning to campus, we had a fresh perspective for our IT support desk. We automated our network security with Cisco Clean Access and developed an assembly line for repair work with increased student worker technicians. TheBrain software centralized support desk management and helped us develop an ""on demand"" phone support. The campus support desk now offers increased network security, a wider range of services and faster repair times. Copyright 2006 ACM.","Blanco M.; White K.","0"
"Domain","HIPAA Security Requirements","Secure and advanced unpacking using computer emulation","10.1007/s11416-007-0046-0","2007","The purpose of this article is firstly to present a secure unpacker which is specifically designed for a security analyst when studying viruses but also any anti-virus scanner. Such a tool is in fact required when assessing security requirements of an anti-virus scanner through a black box approach. During testing of anti-virus software, a security analyst needs to build virus populations required for several penetration tests. Virus unpacking is a first mandatory step before gaining the ability to apply obfuscation transformation or any information extraction algorithm on a viral set. A secure unpacker is also useful when checking security robustness against reverse engineering of any packed or protected security product. Several static and dynamic analysis tools already implement unpacking algorithms, but these often require human intervention and are not well designed to automatically unpack such a dangerous program as a virus. A new algorithm for automatically unpacking encrypted viruses is presented in this paper. Forensics techniques to reconstruct an unpacked executable and advanced heuristics are also presented in order to decrypt more sophisticated self-protected Malwares. We present several detection techniques which are specifically designed to deceive virtual machine monitors and discuss the security of our tool against these low-level viral attacks. Our secure unpacker figures among a set of several tools. We then present in this paper a proof-of-concept human analysis framework which implements most standard components of an anti-virus scanner (real-time scanner, emulator engine) and in addition proposes a reliable system for automatically gaining information about a virus and its interaction with the OS executive (stealth native API hooking), but focuses on human decision as a detection process without the same resource limitation constraint as product oriented anti-virus scanners. This framework is used as a basis/reference for the comparative analysis of security aspects of anti-virus scanners and deals with the robustness of their driver stack and the efficiency of their de-obfuscation and unpacking algorithms. © 2007 Springer-Verlag France.","Josse S.","20"
"Domain","Deception Technology","Farm: An automated malware analysis environment","10.1109/CCST.2008.4751322","2008","We present the Forensic Analysis Repository for Malware (FARM), a system for automating malware analysis. FARM leverages existing dynamic and static analysis tools and is designed in a modular fashion to provide future extensibility. We present our motivations for designing the system and give an overview of the system architecture. We also present several common scenarios that detail uses for FARM as well as illustrate how automated malware analysis saves time. Finally, we discuss future development of this tool. ©2008 IEEE.","Van Randwyk J.; Chiang K.; Lloyd L.; Vanderveen K.","6"
"Domain","Web Security","Resolving JavaScript vulnerabilities in the browser runtime","10.1109/ISSRE.2008.11","2008","The volume of web based malware on the Internet keeps rising despite huge investments on web security. JavaScript, the dominant scripting language for web applications, is the primary channel for most of these attacks. In this paper, we describe research into the design and implementation of new web client protection system based on code instrumentation techniques. This system combines traditional static analysis techniques with a dynamic HTML, CSS and JavaScript code runtime monitoring agent to offer an efficient, easily deployable, policy driven framework for improved user protection. Rewriting and runtime monitoring are based on providing safe equivalents of JavaScript code constructs known to contain insecurities and hence exploitable by malicious web applications. As a demonstration of the practical capabilities of our framework, we also include a case study attack and empirical analysis of some of its various aspects across 1000 home pages belonging to the most popular web sites on the Internet. © 2008 IEEE.","Ofuonye E.; Miller J.","6"
"Domain","Application Security","Static enforcement of web application integrity through strong typing","","2009","Security vulnerabilities continue to plague web applications, allowing attackers to access sensitive data and co-opt legitimate web sites as a hosting ground for malware. Accordingly, researchers have focused on various approaches to detecting and preventing common classes of security vulnerabilities in web applications, including anomaly-based detection mechanisms, static and dynamic analyses of server-side web application code, and client-side security policy enforcement. This paper presents a different approach to web application security. In this work, we present a web application framework that leverages existing work on strong type systems to statically enforce a separation between the structure and content of both web documents and database queries generated by a web application, and show how this approach can automatically prevent the introduction of both server-side cross-site scripting and SQL injection vulnerabilities. We present an evaluation of the framework, and demonstrate both the coverage and correctness of our sanitization functions. Finally, experimental results suggest that web applications developed using this framework perform competitively with applications developed using traditional frameworks. © 2009 Proceedings of the 18th USENIX Security Symposium. All rights reserved.","Robertson W.; Vigna G.","46"
"Domain","API Development","Malware analysis using reverse engineering and data mining tools","10.1109/ICSSE.2010.5551719","2010","One challenge in malware analysis involves collecting useful data without risking experimenters' machines or systems. Static analysis of malware code bases is valuable in providing insights on malware development mechanisms, however, it cannot provide understanding in dynamic profiling of executable codes. In this paper, we present a case study of the well-known Nugache worm using existing reverse engineering tools to collect data from malwares running in a closed-lab environment. Useful dynamic patterns of mal wares are generated by using a rough set based machine learning tool. The proposed approach can be used for the study of mal ware behaviors in a safe and pedagogical environment. The dynamic patterns generated by data mining tools may provide insights for specifying similarity measures used by network level Intrusion Detection Systems. © 2010 IEEE.","Burji S.; Liszka K.J.; Chan C.-C.","13"
"Domain","Digital Forensics","Lessons learned from an investigation into the analysis avoidance techniques of malicious software","","2010","This paper outlines a number of key lessons learned from an investigation into the techniques malicious executable software can employ to hinder digital forensic examination. Malware signature detection has been recognised by researchers to be far less than ideal. Thus, the forensic analyst may be required to manually analyse suspicious files. However, in order to hinder the forensic analyst, hide its true intent and to avoid detection, modern malware can be wrapped with packers or protectors, and layered with a plethora of anti-analysis techniques. This necessitates the forensic analyst to develop static and dynamic analysis skills tailored to navigate a hostile environment. To this end, the analyst must understand the anti-analysis techniques that can be employed and how to mitigate them, the limitations of existing tools and how to extend them, and how to employ an appropriate analysis methodology to uncover the intent of the malware.","Brand M.; Valli C.; Woodward A.","10"
"Domain","Distributed Computing","Classification of malware using structured control flow","","2010","Malware is a pervasive problem in distributed computer and network systems. Identification of malware variants provides great benefit in early detection. Control flow has been proposed as a characteristic that can be identified across variants, resulting in flowgraph based malware classification. Static analysis is widely used for the classification but can be ineffective if malware undergoes a code packing transformation to hide its real content. This paper proposes a novel algorithm for constructing a control flow graph signature using the decompilation technique of structuring. Similarity between structured graphs can be quickly determined using string edit distances. To reverse the code packing transformation, a fast application level emulator is proposed. To demonstrate the effectiveness of the automated unpacking and flowgraph based classification, we implement a complete system and evaluate it using synthetic and real malware. The evaluation shows our system is highly effective in terms of accuracy in revealing all the hidden code, execution time for unpacking, and accuracy in classification. © 2010, Australian Computer Society, Inc.","Cesare S.; Xiang Y.","92"
"Domain","Firmware Reverse Engineering","Malware self protection mechanism issues in conducting malware behaviour analysis in a virtual environment as compared to a real environment","10.1109/ITSIM.2010.5561600","2010","Malware writers are constantly trying to defeat and hinder malware analysis with malware self protection mechanism. There are two main methods of malware analysis which are reverse engineering and behaviour analysis. Reverse engineering consists of static and dynamic code analysis. Behaviour analysis studies the malware's interaction in and out of the infected host. Behaviour analysis will always be a faster method compared to reverse engineering due to its more visual approach. This study will analyse issues related to malware self protection mechanism in conducting malware behaviour analysis in a virtual environment as compared to a real environment and suggestion(s), on how to overcome the problem. © 2010 IEEE.","Alsagoff S.N.","2"
"Domain","Trusted Platform Module","Building a trusted image for embedded systems","10.1145/1852666.1852739","2010","In this work, we propose PlugNPlay Trust, an integrity measurement framework which enables a remote system to evaluate the integrity and state of an embedded node. The PlugNPlay Trust design exploits the relatively static nature of embedded communication systems and uses a Trusted Platform Module (TPM) to measure the state and provide identity verification for the embedded host. This framework enables remote parties to confirm the integrity of embedded communication systems, thereby limiting the effects and the proliferation of malware in compromised system. We implement a prototype of the PlugNPlay framework using Live CD technologies and a USB Flash-drive. We measure the performance of our system and show that our design choices result in efficient measurement and verification of system integrity. © 2010 ACM.","Harris J.; Hill R.","2"
"Domain","Drive-By Download","Throwing a MonkeyWrench into web attackers plans","10.1007/978-3-642-13241-4_4","2010","Client-based attacks on internet users with malicious web pages represent a serious and rising threat. Internet Browsers with enabled active content technologies such as JavaScript are vulnerable to so-called drive-by downloads. Drive-by downloads are able to automatically infect a victim's system during a single visit of a crafted web page testing various vulnerabilities and installing e.g. malware files or illegal content without user interaction. In this paper we present MonkeyWrench, a low-interaction web-honeyclient allowing automatic identification of malicious web pages by performing static analysis of the HTML-objects in a web page as well as dynamic analysis of scripts by execution in an emulated browser environment. Using this hybrid approach MonkeyWrench overcomes shortcomings of existing low-interaction web-honeyclients in dealing with obfuscated JavaScript while outperforming high-interaction systems. Further MonkeyWrench is able to identify the exact vulnerability triggered by a malicious page and to extract payloads from within obfuscated scripts which are valuable information to security analysts and researchers. Results of an examination of several hundred thousand web pages demonstrate MonkeyWrench's ability to expose rising threats of the web, and to collect malware and JavaScript exploit samples. © 2010 Springer-Verlag.","Büscher A.; Meier M.; Benzmüller R.","5"
"Domain","Stream Processing","1st International Conference on Runtime Verification, RV 2010","","2010","The proceedings contain 39 papers. The special focus in this conference is on Runtime Verification. The topics include: Statistical model checking: An overview; Runtime verification with the RV system; a meta-aspect protocol for developing dynamic analyses; behavior abstraction in malware analysis; clara: A framework for partially evaluating finite-state runtime monitors ahead of time; Checking the correspondence between UML models and implementation; compensation-aware runtime monitoring; recovery Tasks: An Automated Approach to Failure Recovery; formally efficient program instrumentation; Code Contracts for.NET: Runtime verification and so much more; interval analysis for concurrent trace programs using transaction sequence graphs; causality analysis in contract violation; reducing configurations to monitor in a software product line; runtime instrumentation for precise flow-sensitive type analysis; trace recording for embedded systems: Lessons learned from five industrial projects; Verification of an AFDX infrastructure using simulations and probabilities; copilot: A Hard Real-Time Runtime Monitor; stealthWorks: Emulating memory errors; efficient data race detection for async-finish parallelism; run-time verification of optimistic concurrency; visual debugging for stream processing applications; who guards the guardians? — Toward V&V of health management software: (Short paper); Aspect-Oriented instrumentation with GCC; runtime Verification for Software Transactional Memories; optimized temporal monitors for systemC; runtime verification of stochastic, faulty systems; low-overhead bug fingerprinting for fast debugging; ESAT: A tool for animating logic-based specifications of evolvable component systems; a tool which mines partial execution traces to improve static analysis; larvaStat: Monitoring of statistical properties; WS-PSC monitor: A tool chain for monitoring temporal and timing properties in composite service based on property sequence chart.","","1"
"Domain","IoT Security","A study of android application security","","2011","The fluidity of application markets complicate smartphone security. Although recent efforts have shed light on particular security issues, there remains little insight into broader security characteristics of smartphone applications. This paper seeks to better understand smartphone application security by studying 1,100 popular free Android applications. We introduce the ded decompiler, which recovers Android application source code directly from its installation image. We design and execute a horizontal study of smartphone applications based on static analysis of 21 million lines of recovered code. Our analysis uncovered pervasive use/misuse of personal/ phone identifiers, and deep penetration of advertising and analytics networks. However, we did not find evidence of malware or exploitable vulnerabilities in the studied applications. We conclude by considering the implications of these preliminary findings and offer directions for future analysis. © 2011 by The USENIX Association.","Enck W.; Octeau D.; McDaniel P.; Chaudhuri S.","709"
"Domain","Cryptanalysis","Information Security and Assurance - International Conference, ISA 2011, Proceedings","","2011","The proceedings contain 42 papers. The topics discussed include: information security awareness campaign: an alternate approach; recent progress in code-based cryptography; a comparative study of a new associative classification approach for mining rare and frequent classification rules; secret key awareness security public key encryption scheme; design of a retargetable decompiler for a static platform-independent malware analysis; the proactive and reactive digital forensics investigation process: a systematic literature review; multistep attack detection and alert correlation in intrusion detection systems; S-FSB: an improved variant of the FSB hash family; improved identity-based identification and signature schemes using quasi-dyadic Goppa codes; non-interactive deniable authentication protocol using generalized ECDSA signature scheme; and lower bounds for interpolating polynomials for square roots of the elliptic curve discrete logarithm.","","0"
"Domain","Batch Processing","Static detection of malicious JavaScript-bearing PDF documents","10.1145/2076732.2076785","2011","Despite the recent security improvements in Adobe's PDF viewer, its underlying code base remains vulnerable to novel exploits. A steady flow of rapidly evolving PDF malware observed in the wild substantiates the need for novel protection instruments beyond the classical signature-based scanners. In this contribution we present a technique for detection of JavaScript-bearing malicious PDF documents based on static analysis of extracted JavaScript code. Compared to previous work, mostly based on dynamic analysis, our method incurs an order of magnitude lower run-time overhead and does not require special instrumentation. Due to its efficiency we were able to evaluate it on an extremely large real-life dataset obtained from the VirusTotal malware upload portal. Our method has proved to be effective against both known and unknown malware and suitable for large-scale batch processing. Copyright 2011 ACM.","Laskov P.; Šrndić N.","141"
"Domain","Hardware Security","A unified framework for multimodal submodular integrated circuits trojan detection","10.1109/TIFS.2010.2096811","2011","This paper presents a unified formal framework for integrated circuits (ICs) Trojan detection that can simultaneously employ multiple noninvasive side-channel measurement types (modalities). After formally defining the IC Trojan detection for each side-channel measurement and analyzing the complexity, we devise a new submodular formulation of the problem objective function. Based on the objective function properties, an efficient Trojan detection method with strong approximation and optimality guarantees is introduced. Signal processing methods for calibrating the impact of interchip and intrachip correlations are presented. We define a new sensitivity metric that formally quantifies the impact of modifications to each existing gate that is affected by Trojan. Using the new metric, we compare the Trojan detection capability of different measurement types for static (quiescent) current, dynamic (transient) current, and timing (delay) side-channel measurements. We propose four methods for combining the detection results that are gained from different measurement modalities and show how the sensitivity results can be used for a systematic combining of the detection results. Experimental evaluations on benchmark designs reveal the low-overhead and effectiveness of the new Trojan detection framework and provides a comparison of different detection combining methods. © 2010 IEEE.","Koushanfar F.; Mirhoseini A.","107"
"Domain","Proof of Concept","Proceedings - 35th Annual IEEE International Computer Software and Applications Conference Workshops, COMPSACW 2011","","2011","The proceedings contain 88 papers. The topics discussed include: fuzzy control-based software self-adaptation: a case study in mission critical systems; a sufficient condition for parameters estimation in dynamic random testing; distributed monitoring and adaptation of multiple QoS in service-based systems; policies to enable serving untrusted services on alternative (non-3GPP) and untrusted access networks in EPS; a framework for the management of operator policies and user preferences for service compositions in the IP multimedia subsystem; IMS threat and attack surface analysis using common vulnerability scoring system; IMS/NGN service lab: testbed for creating innovative IMS/NGN service applications; test-driving static analysis tools in search of C code vulnerabilities; adaptive rule-based malware detection employing learning classifier systems: a proof of concept; and secure communication via shared knowledge and a salted hash in ad-hoc environments.","","0"
"Domain","Attack Surface Analysis","Proceedings - 35th Annual IEEE International Computer Software and Applications Conference Workshops, COMPSACW 2011","","2011","The proceedings contain 88 papers. The topics discussed include: fuzzy control-based software self-adaptation: a case study in mission critical systems; a sufficient condition for parameters estimation in dynamic random testing; distributed monitoring and adaptation of multiple QoS in service-based systems; policies to enable serving untrusted services on alternative (non-3GPP) and untrusted access networks in EPS; a framework for the management of operator policies and user preferences for service compositions in the IP multimedia subsystem; IMS threat and attack surface analysis using common vulnerability scoring system; IMS/NGN service lab: testbed for creating innovative IMS/NGN service applications; test-driving static analysis tools in search of C code vulnerabilities; adaptive rule-based malware detection employing learning classifier systems: a proof of concept; and secure communication via shared knowledge and a salted hash in ad-hoc environments.","","0"
"Domain","Reverse Engineering Practices","Dynamic analysis of malware using decision trees","","2011","Detecting new and unknown malware is a major challenge in today's software security profession. Most existing works for malware detection are based on static features of malware. In this work, we applied a reversed engineering process to extract static and behavioural features from malware. Two data sets are created based on reversed features and API Call features. Essential features are identified by applying Weka's J48 decision tree classifier to 582 malware and 521 benign software samples collected from the Internet. The performance of decision tree and Naïve Bayes classifiers are evaluated by 5-fold cross validation with 80-20 splits of training sets. Experimental results show that Naïve Bayes classifier has better performance on the smaller data set with 12 reversed features, while J48 has better performance on the data set created from the API Call data set with 141 features.","Ravula R.R.; Liszka K.J.; Chan C.-C.","1"
"Domain","Deep Learning Techniques","AISec'12 - Proceedings of the ACM Workshop on Security and Artificial Intelligence","","2012","The proceedings contain 10 papers. The topics discussed include: improving malware classification: bridging the static/dynamic gap; early detection of malicious behavior in JavaScript code; an information theoretic framework for web inference detection; learning stateful models for network honeypots; nonparametric semi-supervised learning for network intrusion detection: combining performance improvements with realistic in-situ training; robust detection of comment spam using entropy rate; understanding the time-series behavioral characteristics of evolutionally advanced email spammers; tracking concept drift in malware families; autonomous learning for detection of JavaScript attacks: vision or reality?; and on the effectiveness of using state-of-the-art machine learning techniques to launch cryptographic distinguishing attacks.","","0"
"Domain","Cloud Services","Similarity analysis of shellcodes in drive-by download attack kits","10.4108/icst.collaboratecom.2012.2S0S07","2012","Drive-by downloads have become the primary attack vehicle for malware distribution in recent years. With the rise of targeted attacks, the vulnerabilities within the cloud based services and web based collaboration frameworks might end up as the principal targets for hosting drive-by download attacks. In this paper, we studied the similarity of the shellcodes among different attack kits. Shellcode is the malicious code used as the payload in drive-by download attacks. Specifically, we collected 15 different drive-by download attack kits and identified shellcodes used in each kit. As the shellcodes are transmitted to the browser as Javascript strings, we measured the similarity between regular strings and shellcodes defined in Javascript. We disassembled the shellcodes and computed the mean of Cosine Similarity, Extended Jaccard Similarity and Pearson Correlation measures based on the frequencies of the opcodes. Our analysis shows that the shellcodes, used as payloads, across different attack kits were similar with other shellcodes and dissimilar with benign Javascript strings. We observe that some of the attack kits released across different years had same shellcodes. The performance of similarity analysis was compared to an emulation based approach and observed reduction of 75% in the analysis time. Based on the results, the similarity measure of the shellcodes could be an effective static mechanism in detecting the shellcode based drive-by download attacks. © 2012 ICST.","Cherukuri M.; Mukkamala S.; Dongwan S.","3"
"Domain","Artificial Intelligence Ethics","AISec'12 - Proceedings of the ACM Workshop on Security and Artificial Intelligence","","2012","The proceedings contain 10 papers. The topics discussed include: improving malware classification: bridging the static/dynamic gap; early detection of malicious behavior in JavaScript code; an information theoretic framework for web inference detection; learning stateful models for network honeypots; nonparametric semi-supervised learning for network intrusion detection: combining performance improvements with realistic in-situ training; robust detection of comment spam using entropy rate; understanding the time-series behavioral characteristics of evolutionally advanced email spammers; tracking concept drift in malware families; autonomous learning for detection of JavaScript attacks: vision or reality?; and on the effectiveness of using state-of-the-art machine learning techniques to launch cryptographic distinguishing attacks.","","0"
"Domain","User Feedback","Closing the Pandora's box: Defenses for thwarting epidemic outbreaks in mobile adhoc networks","10.1109/MASS.2012.6502518","2012","The openness of the Android operating system increased the number of applications developed, but it also introduced a new propagation vector for mobile malware. We model the propagation of mobile malware using epidemiology theory and study the problem as a function of the underlying mobility models. We define the optimal approach to heal an infected system with the help of a set of static healers that distribute patches, as the T-COVER problem and show that it is NP-HARD. We then propose two families of healer protocols that trade-off time recovery and energy consumed by sending patches. The first one uses randomization to ensure a small recovery time but may result in healers sending more patches than needed. The second one uses system feedback to optimize energy consumed by sending patches, but it may result in a larger recovery time. We show through simulations using the NS-3 simulator that despite lacking knowledge of the future, our protocols obtain a recovery time within a 10x bound of the oracle solution that knows the arrival time of the infected nodes. © 2012 IEEE.","Potharaju R.; Hoque E.; Nita-Rotaru C.; Sarkar S.; Venkatesh S.S.","2"
"Domain","Privacy Protection","A case study in open source software security and privacy: Android adware","","2012","The goal of this paper is to analyze the behavior and intent of recent types of privacy-invasive Android adware. This paper starts with a review of Android mobile operating system security. This paper also addresses the broader issue as to the pros and cons of an open source operating system in terms of security and privacy. Static analysis of malware can provide higher quality results and lead to a better understanding. This approach is used in this paper. As Android's market share is rapidly growing around the world, Android security will be a crucial area of research for IT security professionals and their academic counterparts. The upside of the current situation is that malware is being quickly exposed, thanks to open-source software development tools. © 2012 Infonomics Society.","Erturk E.","34"
