Title,DOI,Link
Big Data Intelligent Collection and Network Failure Analysis Based on Artificial Intelligence,10.31449/inf.v46i3.3866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143119257&doi=10.31449%2Finf.v46i3.3866&partnerID=40&md5=ae5be3873f0704cec2cbe83f02ca0245
Foreseer: Efficiently Forecasting Malware Event Series with Long Short-Term Memory,10.1109/SEED55351.2022.00016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143085361&doi=10.1109%2FSEED55351.2022.00016&partnerID=40&md5=3ba7705ba669327c4ea7fc9e6f44e802
CodeDiff: A Malware Vulnerability Detection Tool Based on Binary File Similarity for Edge Computing Platform,10.1007/978-3-031-19211-1_42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142900796&doi=10.1007%2F978-3-031-19211-1_42&partnerID=40&md5=3c014d51d793d140f23dd8e27d86c103
Detecting Malicious URLs Using Machine Learning Techniques: Review and Research Directions,10.1109/ACCESS.2022.3222307,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142789961&doi=10.1109%2FACCESS.2022.3222307&partnerID=40&md5=97a943e0e0f44199c371d41fa4d80850
Obfuscated malware detection using dilated convolutional network,10.1109/ICUMT57764.2022.9943443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142766470&doi=10.1109%2FICUMT57764.2022.9943443&partnerID=40&md5=2751fa02a02257fe4af9aefff1a0a188
Gradient-Based Adversarial Attacks Against Malware Detection by Instruction Replacement,10.1007/978-3-031-19208-1_50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142756253&doi=10.1007%2F978-3-031-19208-1_50&partnerID=40&md5=0314fbc4cdf1afa3a12c8cb1e87bd2c3
"11th International Congress of Telematics and Computing, WITCOM 2022",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142734375&partnerID=40&md5=255ba70e631ccdfafc69e6cde7340dba
An Invisible Black-Box Backdoor Attack Through Frequency Domain,10.1007/978-3-031-19778-9_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142716504&doi=10.1007%2F978-3-031-19778-9_23&partnerID=40&md5=63e7291638313cb63ea23fdfb19c5305
Statistical Analysis of Big Data Models in Android Malware Detection,10.1109/ICECAA55415.2022.9936326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142716158&doi=10.1109%2FICECAA55415.2022.9936326&partnerID=40&md5=0f191c3cc52df27d7705f77ef15abaca
High-Precision Nano-Amp Current Sensor and Obfuscation based Analog Trojan Detection Circuit,10.1109/ISCAS48785.2022.9937796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142527396&doi=10.1109%2FISCAS48785.2022.9937796&partnerID=40&md5=035fc2aa1c661517f463d7cf7b803819
Semi-supervised Trojan Nets Classification Using Anomaly Detection Based on SCOAP Features,10.1109/ISCAS48785.2022.9937236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142516265&doi=10.1109%2FISCAS48785.2022.9937236&partnerID=40&md5=8d440983a8682121b589478058c498d9
